num_qubits_each_circuit,dataset,average_utilization
2,FFD,0.8
2,MILQ,0.8
2,MTMC,0.4
2,NoTODS,0.19875776397515527
3,FFD,0.6
3,MILQ,0.6
3,MTMC,0.6
3,NoTODS,0.843656980864635
4,FFD,0.8
4,MILQ,0.8
4,MTMC,0.8
4,NoTODS,0.7586998087954111
5,FFD,1.0
5,MILQ,1.0
5,MTMC,1.0
5,NoTODS,0.7704347826086957
6,FFD,0.996875
6,MILQ,0.9930875576036866
6,MTMC,0.9930875576036866
6,NoTODS,0.6
7,FFD,0.9858736059479554
7,MILQ,0.885613644790508
7,MTMC,0.9812260536398467
7,NoTODS,0.7172413793103448
8,FFD,0.8745423735125974
8,MILQ,0.8745423735125974
8,MTMC,0.8745423735125974
8,NoTODS,0.8
9,FFD,0.904780361757106
9,MILQ,0.904780361757106
9,MTMC,0.904780361757106
9,NoTODS,0.9
10,FFD,1.0
10,MILQ,1.0
10,MTMC,1.0
10,NoTODS,1.0
